Total packets,Total size,Mean size,Mean inter-arrival,Scenario
167,16429,98.37724551,0.001411392,0
76,7379,97.09210526,0.00282704,0
161,15728,97.68944099,0.001473144,0
90,8754,97.26666667,0.002703528,0
84,8255,98.27380952,0.002959458,0
159,15559,97.85534591,0.001557873,0
110,10530,95.72727273,0.002285697,0
91,8719,95.81318681,0.0026378,0
114,11189,98.14912281,0.001606929,0
86,8326,96.81395349,0.002846459,0
90,8734,97.04444444,0.002465764,0
174,17101,98.2816092,0.001234861,0
82,8042,98.07317073,0.003031765,0
106,10282,97,0.001902933,0
110,10699,97.26363636,0.002168266,0
60,5492,91.53333333,0.003535017,0
182,17912,98.41758242,0.001262807,0
83,7881,94.95180723,0.002380915,0
142,13945,98.20422535,0.001573922,0
84,8255,98.27380952,0.002681675,0
97,9290,95.77319588,0.002148438,0
61,6066,99.44262295,0.003887733,0
106,10061,94.91509434,0.0019894,0
205,20232,98.69268293,0.001215201,0
108,10422,96.5,0.002334486,0
101,9802,97.04950495,0.00246743,0
80,7652,95.65,0.003134051,0
122,11787,96.6147541,0.001867653,0
139,13513,97.21582734,0.00172042,0
114,11176,98.03508772,0.001949398,0
116,11372,98.03448276,0.001845609,0
79,7586,96.02531646,0.002955038,0
64,6277,98.078125,0.003826127,0
91,8812,96.83516484,0.002250022,0
188,18429,98.02659574,0.00113384,0
42,3992,95.04761905,0.005366951,0
186,18120,97.41935484,0.001208822,0
59,5571,94.42372881,0.003439776,0
126,12384,98.28571429,0.001926384,0
128,12526,97.859375,0.00161415,0
131,12791,97.64122137,0.001820669,0
81,7762,95.82716049,0.002410437,0
117,11626,99.36752137,0.001950026,0
81,7789,96.16049383,0.003090238,0
138,13296,96.34782609,0.001770058,0
144,14145,98.22916667,0.001678573,0
103,10016,97.24271845,0.00242249,0
88,8536,97,0.002652379,0
79,7581,95.96202532,0.002610436,0
120,11773,98.10833333,0.002016017,0
147,14459,98.36054422,0.001429685,0
46,4628,100.6086957,0.004967556,0
154,15014,97.49350649,0.001370275,0
75,7235,96.46666667,0.003237297,0
103,10045,97.52427184,0.002162608,0
68,6640,97.64705882,0.002986567,0
167,16604,99.4251497,0.001403687,0
153,15077,98.54248366,0.001432329,0
86,8376,97.39534884,0.002829388,0
87,8289,95.27586207,0.002631698,0
55,5123,93.14545455,0.004078556,0
162,15988,98.69135802,0.001337298,0
161,15846,98.42236025,0.001362669,0
123,11893,96.69105691,0.001869246,0
76,7397,97.32894737,0.00329012,0
80,7777,97.2125,0.003118405,0
168,16354,97.3452381,0.001482467,0
91,8824,96.96703297,0.002540289,0
117,11383,97.29059829,0.001957241,0
110,10852,98.65454545,0.001919303,0
81,7725,95.37037037,0.002977075,0
155,15236,98.29677419,0.001597695,0
81,7734,95.48148148,0.0031048,0
140,13733,98.09285714,0.00156277,0
90,8679,96.43333333,0.002775056,0
58,5659,97.56896552,0.003505211,0
107,10338,96.61682243,0.002186953,0
173,16996,98.24277457,0.00129186,0
104,10024,96.38461538,0.002350068,0
80,7848,98.1,0.002488506,0
116,11076,95.48275862,0.001846139,0
101,9803,97.05940594,0.00244474,0
116,11361,97.93965517,0.002159817,0
153,15090,98.62745098,0.001481888,0
107,10419,97.37383178,0.002290038,0
108,10576,97.92592593,0.002268159,0
67,6348,94.74626866,0.003597273,0
61,5865,96.14754098,0.003544017,0
194,19157,98.74742268,0.001150736,0
112,10776,96.21428571,0.001994045,0
117,11378,97.24786325,0.002023586,0
71,6962,98.05633803,0.003382429,0
63,5946,94.38095238,0.003621403,0
102,9942,97.47058824,0.002065356,0
197,19403,98.49238579,0.001052117,0
83,7885,95,0.002924268,0
126,12406,98.46031746,0.001688048,0
